nonce, expected earnings, actual earning, tx fee, expected earnings (yen), actual earning (yen), tx fee (yen)
1, 1799519168478, -87261480831522, 89061000000000, 0.4999999999999492, -24.245776972000048, 24.745776972
2, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
3, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
4, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
5, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
6, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
7, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
8, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
9, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
10, 1799519168478, -70161480831522, 71961000000000, 0.4999999999999492, -19.494507772000052, 19.994507772
11, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
12, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
13, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
14, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
15, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
16, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
17, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
18, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
19, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
20, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
21, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
22, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
23, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
24, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
25, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
26, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
27, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
28, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
29, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
30, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
31, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
32, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
33, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
34, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
35, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
36, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
37, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
38, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
39, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
40, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
41, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
42, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
43, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
44, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
45, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
46, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
47, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
48, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
49, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
50, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
51, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
52, 1799519168478, -70149480831522, 71949000000000, 0.4999999999999492, -19.491173548000052, 19.991173548
53, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
54, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
55, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
56, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
57, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
58, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
59, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
60, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
61, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
62, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
63, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
64, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
65, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
66, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
67, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
68, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
69, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
70, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
71, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
72, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
73, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
74, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
75, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
76, 1799519168478, -70173480831522, 71973000000000, 0.4999999999999492, -19.49784199600005, 19.997841996
77, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
78, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
79, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
80, 1799519168478, -70185480831522, 71985000000000, 0.4999999999999492, -19.50117622000005, 20.001176219999998
